epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2403,0.48226,0.6471,2.55935,0.00238,5.57403,0.85203,0.89229,0.9515,0.89757,0.85203,0.89229,0.9515,0.86092,0.37891,0.3968,0.53935,0.00254,0,0.000205177,0.000205177,0.000205177
2,75.4009,0.52178,0.44752,0.64668,0.00272,1.6323,0.95637,0.96215,0.98176,0.86925,0.95637,0.96215,0.98176,0.83448,0.53377,0.39843,0.26368,0.00413,0,0.000411463,0.000411463,0.000411463
3,106.19,0.52348,0.44329,0.47814,0.00278,0.4115,0.8634,0.87854,0.94562,0.82787,0.8634,0.87854,0.94562,0.7965,0.55245,0.46927,0.60098,0.00406,0,0.000615687,0.000615687,0.000615687
4,137.074,0.55963,0.44749,0.4428,0.00311,0.28447,0.94999,0.95138,0.98263,0.9158,0.94999,0.95138,0.98259,0.86366,0.39956,0.35006,0.25279,0.00293,0,0.000615719,0.000615719,0.000615719
5,168.129,0.51204,0.43874,0.37311,0.00272,0.25238,0.94848,0.97559,0.99111,0.93147,0.94777,0.97488,0.99087,0.88271,0.38104,0.42665,0.21059,0.00251,0,0.000612625,0.000612625,0.000612625
6,199.196,0.48043,0.43268,0.33412,0.00251,0.22041,0.99068,0.94198,0.99082,0.95179,0.99068,0.94198,0.99082,0.88171,0.31973,0.38256,0.18507,0.00212,0,0.000609531,0.000609531,0.000609531
7,230.187,0.45824,0.40369,0.31137,0.00232,0.21721,0.97078,0.90438,0.98368,0.94357,0.97078,0.90438,0.98368,0.88075,0.33418,0.37924,0.25137,0.00225,0,0.000606437,0.000606437,0.000606437
8,261.129,0.44511,0.40997,0.2984,0.00225,0.21814,0.9329,0.95405,0.98562,0.93136,0.9329,0.95405,0.98562,0.8742,0.36916,0.37511,0.28707,0.00263,0,0.000603344,0.000603344,0.000603344
9,292.059,0.43625,0.40805,0.29235,0.00215,0.21177,0.96014,0.86931,0.90342,0.86471,0.96014,0.86931,0.90342,0.79885,0.35133,0.46525,0.56963,0.00247,0,0.00060025,0.00060025,0.00060025
10,322.862,0.4228,0.39028,0.26919,0.00214,0.19782,0.98929,0.97072,0.99286,0.9589,0.98929,0.97072,0.99286,0.901,0.30226,0.36329,0.14993,0.00199,0,0.000597156,0.000597156,0.000597156
